Symbol,Name,Exchange,instrument_key,industry,sector
VINATIORGA,Vinati Organics Ltd.,2,BSE_EQ|INE410B01037,Specialty Chemicals,Chemicals & Petrochemicals
LACTOSE,Lactose (India) Ltd.,2,BSE_EQ|INE058I01013,Pharmaceuticals,Pharmaceuticals & Biotechnology
TEEAI,Teesta Agro Industries Ltd,2,BSE_EQ|INE757D01011,Fertilizers,Fertilizers & Agrochemicals
AARTIIND,Aarti Industries Ltd,2,BSE_EQ|INE769A01020,Specialty Chemicals,Chemicals & Petrochemicals
PNTKYOR,Pentokey Organy (India) Ltd.,2,BSE_EQ|INE702E01015,Commodity Chemicals,Chemicals & Petrochemicals
WANBURY,Wanbury Limited,2,BSE_EQ|INE107F01022,Pharmaceuticals,Pharmaceuticals & Biotechnology
RESONANCE,Resonance Specialties Limited,2,BSE_EQ|INE486D01017,Specialty Chemicals,Chemicals & Petrochemicals
GAEL,Gujarat Ambuja Exports Ltd.,2,BSE_EQ|INE036B01030,Other Agricultural Products,Agricultural Food & other Products
RCF,Rashtriya Chemicals & Fertilizers Limited,2,BSE_EQ|INE027A01015,Fertilizers,Fertilizers & Agrochemicals
GUJINJEC,Gujarat Inject (Kerala) Ltd.,2,BSE_EQ|INE659F01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
KOPRAN,Kopran Ltd.,2,BSE_EQ|INE082A01010,Pharmaceuticals,Pharmaceuticals & Biotechnology
AIMCOPEST,Aimco Pesticides Ltd.,2,BSE_EQ|INE008B01013,Pesticides & Agrochemicals,Fertilizers & Agrochemicals
GUJTERC,Gujarat Terce Laboratories Ltd,2,BSE_EQ|INE499G01013,Pharmaceuticals,Pharmaceuticals & Biotechnology
JAYAGROGN,Jayant Agro-Organics Limited.,2,BSE_EQ|INE785A01026,Specialty Chemicals,Chemicals & Petrochemicals
BCLIND,BCL INDUSTRIES LIMITED,2,BSE_EQ|INE412G01024,Edible Oil,Agricultural Food & other Products
SHHARICH,Shree Hari Chemicals Export Ltd.,2,BSE_EQ|INE065E01017,Commodity Chemicals,Chemicals & Petrochemicals
INDOBORAX,Indo Borax & Chemicals Ltd.,2,BSE_EQ|INE803D01021,Commodity Chemicals,Chemicals & Petrochemicals
